Job_Title,Company,Location,Experience_Level,Salary,AWS,C++,Data Science,Deep Learning,Docker,Java,JavaScript,Machine Learning,Node.js,Pandas,Python,React,SQL,TensorFlow
3,1,2,2,76312,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,4,4,0,61436,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,2,3,2,87569,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,4,0,0,176787,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,3,1,150485,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,3,1,1,162555,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,3,2,2,92646,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,4,1,136126,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,1,1,0,177922,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,1,1,1,100430,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,3,1,1,182238,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,3,2,0,128659,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,2,0,2,175341,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,1,2,2,64158,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,0,0,1,134236,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,1,0,136067,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,2,1,2,69879,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,3,4,2,196615,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,3,0,1,172284,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,2,1,0,144117,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,3,2,103888,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,3,4,1,90276,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,4,2,1,64799,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,3,4,1,172529,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,4,3,1,184713,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,2,0,2,150141,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,2,2,0,175013,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,3,2,1,91668,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,1,0,1,195183,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,4,4,2,132392,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,0,1,1,76490,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,3,4,1,177219,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,0,3,0,104104,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,3,1,1,65316,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,1,4,2,98130,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,1,0,0,167294,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,3,2,89954,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,1,3,0,173437,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,2,3,0,194116,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,2,1,1,123165,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,4,2,1,126775,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,1,1,197638,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,3,4,2,145311,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,3,2,1,113149,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,2,4,1,194078,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,3,2,0,132561,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,2,1,1,150710,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,4,3,1,152199,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,0,0,1,87326,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,4,3,1,177272,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,1,1,0,91139,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,1,2,1,133638,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,1,3,0,132652,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,4,1,2,72937,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,3,4,1,90161,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,0,0,1,195455,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,1,3,1,145856,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,2,0,130043,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,1,4,1,119919,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,0,1,1,142055,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,1,0,2,145455,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,0,2,0,98135,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,1,1,0,144677,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,4,1,2,89696,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,4,3,0,194845,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,0,3,1,84956,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,4,2,1,75819,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,1,2,61528,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,4,3,0,187781,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,4,0,0,146491,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,0,0,0,104588,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2,3,1,2,159152,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,4,3,1,187872,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,1,2,2,70119,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2,3,2,1,135893,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,2,2,76167,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,3,0,1,170782,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,2,3,0,190775,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,2,3,0,94889,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,4,0,0,105678,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,4,2,2,120262,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,1,2,2,195753,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,3,1,2,140291,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,2,4,0,126008,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,4,3,1,85912,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,3,3,0,66473,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,4,3,0,159500,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,4,4,1,98785,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,2,1,1,160956,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,2,4,1,179006,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,4,2,1,70832,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,0,2,0,196457,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,4,3,2,142747,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,4,0,0,140107,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,1,3,1,125428,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,0,2,146843,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,1,4,2,71002,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,2,0,127501,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,92556,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,4,4,0,127963,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,1,2,2,66563,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,0,2,65840,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,2,3,2,75154,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,4,3,1,84194,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,3,3,1,83528,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,4,4,0,64352,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,3,3,2,60184,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,1,1,0,74319,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,3,2,2,180497,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,1,4,0,116333,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,2,3,1,101205,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,3,2,2,70426,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,4,0,1,67504,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,3,2,176775,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,4,2,0,93368,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,0,1,2,163841,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,1,0,1,176744,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,3,1,2,68724,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,1,2,0,196156,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,4,1,2,142297,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,2,2,1,185099,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,1,2,0,138872,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,3,1,1,130333,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,2,2,62596,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,2,3,1,77167,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,2,2,147844,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2,1,4,0,149751,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,4,2,1,189817,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,4,4,1,140520,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,3,2,2,118326,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,4,2,1,137670,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,2,1,1,84022,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,4,3,0,144458,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,3,3,2,143796,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,0,2,170704,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,194598,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,4,1,0,104361,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,3,2,98286,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,1,1,0,89533,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,4,3,0,199771,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,3,1,0,187441,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,4,2,2,157079,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,1,3,0,160960,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,3,3,1,118465,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,4,4,1,83395,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,2,1,2,164162,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,3,1,0,190704,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,2,3,1,135937,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,0,2,2,189647,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,3,2,1,180650,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,2,2,0,190744,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,1,1,2,151512,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,1,4,1,199830,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,3,2,127009,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,3,0,1,92548,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,3,4,1,78371,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,3,0,0,165977,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,0,4,0,74281,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,3,2,1,196126,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,1,1,2,160020,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,2,0,2,167508,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,1,4,0,126846,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,1,1,1,154682,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,2,0,0,89312,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,1,3,1,174186,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,0,4,1,64257,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,2,3,0,86558,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,2,2,103188,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,4,3,0,93236,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,1,3,1,105076,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,0,4,0,108402,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,3,2,2,154467,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,1,3,2,140337,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,3,1,1,175827,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,4,0,0,134264,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,1,3,2,77335,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,2,2,0,103773,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,3,3,2,88570,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,4,0,1,147995,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,2,2,1,100658,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,2,4,0,180640,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,2,2,1,132613,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,2,4,2,118194,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,1,2,1,171872,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,1,0,2,168558,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,1,0,2,128582,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2,4,2,1,109456,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,4,3,2,115491,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,4,0,2,68043,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,4,0,163212,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,4,4,0,128340,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,1,1,0,195008,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,1,4,1,91174,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0,142632,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,0,2,2,148768,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,4,2,1,185775,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,3,2,1,168177,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,0,3,1,85909,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2,2,3,1,104158,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,1,1,2,199438,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,2,4,2,184296,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,4,0,119331,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,1,2,1,147367,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,0,0,0,125382,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,0,3,2,134319,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,2,3,1,71170,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,1,2,2,179952,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,2,3,0,140145,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,3,2,2,165626,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,2,1,1,76208,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,4,4,1,74990,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,2,0,0,197513,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,4,4,1,189327,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,4,4,2,139314,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,4,1,2,86862,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,3,3,2,153949,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,2,0,2,190223,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,2,3,0,63956,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,3,4,2,148789,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,1,2,0,149451,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,0,4,2,177782,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,2,3,0,62365,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,4,2,132204,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,3,2,2,196072,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,1,1,0,117072,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,1,3,1,112499,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,1,4,1,129211,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,3,3,1,145220,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,4,1,0,153847,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,4,4,1,169459,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,4,1,137755,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,4,3,0,128783,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,4,3,1,187851,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,1,2,1,66472,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,1,1,1,163152,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,0,2,0,199334,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,2,4,0,67008,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,3,1,147851,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2,0,4,1,140799,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,3,4,0,76238,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,3,0,1,77153,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,0,0,0,119353,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,0,4,1,112092,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0,3,0,109104,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,4,4,2,88887,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,3,0,2,64355,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,0,3,0,93701,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,1,4,2,131442,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,1,1,1,72279,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,4,1,0,180738,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,4,4,0,199333,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,2,3,1,195546,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,2,4,1,151414,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,2,4,0,88390,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,4,0,1,142174,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,4,1,0,64787,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,4,0,1,103724,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,1,0,0,70663,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,4,4,1,193107,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,1,0,1,160271,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,2,1,2,127388,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,2,0,2,112335,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,2,1,2,103315,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,0,0,1,164922,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3,0,1,0,106627,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,3,0,1,199375,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,3,0,2,109334,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,3,3,1,125700,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,0,1,2,99726,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,1,2,90694,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,3,1,0,123545,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,3,2,0,66033,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,4,0,2,122461,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,3,1,2,62665,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,4,2,1,87025,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,1,3,2,137661,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,1,180473,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,3,1,2,80998,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,2,0,121248,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,164493,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,3,2,83057,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,1,1,1,139244,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,2,0,1,157031,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,3,3,1,172713,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,2,4,2,165887,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2,2,4,2,127173,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,2,3,0,98734,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,0,2,0,122072,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,4,3,2,154194,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,0,3,0,199741,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0,0,2,1,173272,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,2,2,1,127902,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,0,0,2,182247,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,2,0,1,116959,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,4,2,2,156623,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,3,4,1,191438,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,2,4,2,108415,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,4,3,1,184716,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,3,1,1,181209,0,0,0,0,0,0,0,1,0,0,1,0,1,0
4,1,3,0,69907,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2,2,3,0,155825,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2,2,1,0,92780,0,0,1,0,0,0,0,0,0,1,1,0,0,0
4,1,2,0,95085,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,1,4,0,80426,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,2,3,0,67485,0,0,0,0,0,0,0,1,0,0,1,0,1,0
3,1,1,2,109527,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4,0,0,2,184604,0,1,0,1,0,0,0,0,0,0,0,0,0,1
3,3,3,0,151005,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,3,4,2,118528,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,3,2,0,180631,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,0,3,2,87799,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,1,3,1,198518,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,4,1,2,154817,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,1,0,2,118260,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,2,0,2,72943,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,3,2,1,181401,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,1,4,0,87371,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,4,2,2,158746,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,2,3,2,161248,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,3,1,195008,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,0,85727,0,0,1,0,0,0,0,0,0,1,1,0,0,0
