Job_Title,Company,Location,Skills,Experience_Level,Salary
Machine Learning Engineer,Facebook,"New York, NY","C++, Deep Learning, TensorFlow",Senior,76312
DevOps Engineer,Tesla,"Seattle, WA","Java, AWS, Docker",Entry,61436
AI Engineer,Google,"San Francisco, CA","C++, Deep Learning, TensorFlow",Senior,87569
DevOps Engineer,Tesla,"Austin, TX","Java, AWS, Docker",Entry,176787
DevOps Engineer,Amazon,"San Francisco, CA","JavaScript, React, Node.js",Mid,150485
Data Scientist,Microsoft,"Boston, MA","Python, Pandas, Data Science",Mid,162555
AI Engineer,Microsoft,"New York, NY","Java, AWS, Docker",Senior,92646
AI Engineer,Amazon,"Seattle, WA","Python, Pandas, Data Science",Mid,136126
AI Engineer,Facebook,"Boston, MA","Python, Pandas, Data Science",Entry,177922
DevOps Engineer,Facebook,"Boston, MA","Java, AWS, Docker",Mid,100430
Machine Learning Engineer,Microsoft,"Boston, MA","JavaScript, React, Node.js",Mid,182238
AI Engineer,Microsoft,"New York, NY","Python, SQL, Machine Learning",Entry,128659
DevOps Engineer,Google,"Austin, TX","Python, Pandas, Data Science",Senior,175341
Data Scientist,Facebook,"New York, NY","Python, Pandas, Data Science",Senior,64158
Machine Learning Engineer,Amazon,"Austin, TX","JavaScript, React, Node.js",Mid,134236
Data Scientist,Facebook,"Boston, MA","JavaScript, React, Node.js",Entry,136067
Machine Learning Engineer,Google,"Boston, MA","C++, Deep Learning, TensorFlow",Senior,69879
DevOps Engineer,Microsoft,"Seattle, WA","JavaScript, React, Node.js",Senior,196615
Software Engineer,Microsoft,"Austin, TX","Python, Pandas, Data Science",Mid,172284
Machine Learning Engineer,Google,"Boston, MA","Java, AWS, Docker",Entry,144117
Data Scientist,Amazon,"San Francisco, CA","Python, SQL, Machine Learning",Senior,103888
DevOps Engineer,Microsoft,"Seattle, WA","C++, Deep Learning, TensorFlow",Mid,90276
Machine Learning Engineer,Tesla,"New York, NY","Java, AWS, Docker",Mid,64799
Software Engineer,Microsoft,"Seattle, WA","Python, SQL, Machine Learning",Mid,172529
Software Engineer,Tesla,"San Francisco, CA","Python, SQL, Machine Learning",Mid,184713
AI Engineer,Google,"Austin, TX","Python, SQL, Machine Learning",Senior,150141
AI Engineer,Google,"New York, NY","Java, AWS, Docker",Entry,175013
Data Scientist,Microsoft,"New York, NY","C++, Deep Learning, TensorFlow",Mid,91668
Machine Learning Engineer,Facebook,"Austin, TX","C++, Deep Learning, TensorFlow",Mid,195183
Machine Learning Engineer,Tesla,"Seattle, WA","Python, SQL, Machine Learning",Senior,132392
AI Engineer,Amazon,"Boston, MA","Java, AWS, Docker",Mid,76490
Machine Learning Engineer,Microsoft,"Seattle, WA","Python, SQL, Machine Learning",Mid,177219
Machine Learning Engineer,Amazon,"San Francisco, CA","JavaScript, React, Node.js",Entry,104104
Software Engineer,Microsoft,"Boston, MA","C++, Deep Learning, TensorFlow",Mid,65316
AI Engineer,Facebook,"Seattle, WA","Python, Pandas, Data Science",Senior,98130
DevOps Engineer,Facebook,"Austin, TX","Python, SQL, Machine Learning",Entry,167294
AI Engineer,Facebook,"San Francisco, CA","JavaScript, React, Node.js",Senior,89954
DevOps Engineer,Facebook,"San Francisco, CA","C++, Deep Learning, TensorFlow",Entry,173437
Software Engineer,Google,"San Francisco, CA","Java, AWS, Docker",Entry,194116
Data Scientist,Google,"Boston, MA","C++, Deep Learning, TensorFlow",Mid,123165
Machine Learning Engineer,Tesla,"New York, NY","Java, AWS, Docker",Mid,126775
Software Engineer,Amazon,"Boston, MA","Java, AWS, Docker",Mid,197638
Machine Learning Engineer,Microsoft,"Seattle, WA","Python, SQL, Machine Learning",Senior,145311
Data Scientist,Microsoft,"New York, NY","Python, SQL, Machine Learning",Mid,113149
Data Scientist,Google,"Seattle, WA","C++, Deep Learning, TensorFlow",Mid,194078
Software Engineer,Microsoft,"New York, NY","JavaScript, React, Node.js",Entry,132561
Data Scientist,Google,"Boston, MA","C++, Deep Learning, TensorFlow",Mid,150710
DevOps Engineer,Tesla,"San Francisco, CA","Python, Pandas, Data Science",Mid,152199
Data Scientist,Amazon,"Austin, TX","Java, AWS, Docker",Mid,87326
Machine Learning Engineer,Tesla,"San Francisco, CA","Java, AWS, Docker",Mid,177272
Machine Learning Engineer,Facebook,"Boston, MA","Python, SQL, Machine Learning",Entry,91139
Machine Learning Engineer,Facebook,"New York, NY","JavaScript, React, Node.js",Mid,133638
Machine Learning Engineer,Facebook,"San Francisco, CA","Python, SQL, Machine Learning",Entry,132652
DevOps Engineer,Tesla,"Boston, MA","Python, Pandas, Data Science",Senior,72937
AI Engineer,Microsoft,"Seattle, WA","C++, Deep Learning, TensorFlow",Mid,90161
Software Engineer,Amazon,"Austin, TX","C++, Deep Learning, TensorFlow",Mid,195455
Machine Learning Engineer,Facebook,"San Francisco, CA","JavaScript, React, Node.js",Mid,145856
Data Scientist,Facebook,"New York, NY","Python, SQL, Machine Learning",Entry,130043
Machine Learning Engineer,Facebook,"Seattle, WA","Python, SQL, Machine Learning",Mid,119919
Data Scientist,Amazon,"Boston, MA","Python, Pandas, Data Science",Mid,142055
Data Scientist,Facebook,"Austin, TX","C++, Deep Learning, TensorFlow",Senior,145455
Machine Learning Engineer,Amazon,"New York, NY","Python, SQL, Machine Learning",Entry,98135
DevOps Engineer,Facebook,"Boston, MA","JavaScript, React, Node.js",Entry,144677
Data Scientist,Tesla,"Boston, MA","C++, Deep Learning, TensorFlow",Senior,89696
Data Scientist,Tesla,"San Francisco, CA","Python, Pandas, Data Science",Entry,194845
Machine Learning Engineer,Amazon,"San Francisco, CA","JavaScript, React, Node.js",Mid,84956
Data Scientist,Tesla,"New York, NY","Java, AWS, Docker",Mid,75819
Data Scientist,Amazon,"Boston, MA","Python, Pandas, Data Science",Senior,61528
Machine Learning Engineer,Tesla,"San Francisco, CA","JavaScript, React, Node.js",Entry,187781
Machine Learning Engineer,Tesla,"Austin, TX","Python, SQL, Machine Learning",Entry,146491
Software Engineer,Amazon,"Austin, TX","Java, AWS, Docker",Entry,104588
DevOps Engineer,Microsoft,"Boston, MA","Python, Pandas, Data Science",Senior,159152
DevOps Engineer,Tesla,"San Francisco, CA","Python, SQL, Machine Learning",Mid,187872
Data Scientist,Facebook,"New York, NY","Java, AWS, Docker",Senior,70119
DevOps Engineer,Microsoft,"New York, NY","C++, Deep Learning, TensorFlow",Mid,135893
Data Scientist,Amazon,"New York, NY","Python, SQL, Machine Learning",Senior,76167
Software Engineer,Microsoft,"Austin, TX","JavaScript, React, Node.js",Mid,170782
Machine Learning Engineer,Google,"San Francisco, CA","Python, Pandas, Data Science",Entry,190775
Machine Learning Engineer,Google,"San Francisco, CA","Java, AWS, Docker",Entry,94889
Machine Learning Engineer,Tesla,"Austin, TX","Python, SQL, Machine Learning",Entry,105678
DevOps Engineer,Tesla,"New York, NY","C++, Deep Learning, TensorFlow",Senior,120262
Software Engineer,Facebook,"New York, NY","Python, Pandas, Data Science",Senior,195753
DevOps Engineer,Microsoft,"Boston, MA","Python, Pandas, Data Science",Senior,140291
DevOps Engineer,Google,"Seattle, WA","Python, SQL, Machine Learning",Entry,126008
Software Engineer,Tesla,"San Francisco, CA","C++, Deep Learning, TensorFlow",Mid,85912
Software Engineer,Microsoft,"San Francisco, CA","Java, AWS, Docker",Entry,66473
Software Engineer,Tesla,"San Francisco, CA","Python, SQL, Machine Learning",Entry,159500
Software Engineer,Tesla,"Seattle, WA","Java, AWS, Docker",Mid,98785
Machine Learning Engineer,Google,"Boston, MA","Python, Pandas, Data Science",Mid,160956
AI Engineer,Google,"Seattle, WA","Java, AWS, Docker",Mid,179006
AI Engineer,Tesla,"New York, NY","C++, Deep Learning, TensorFlow",Mid,70832
Software Engineer,Amazon,"New York, NY","JavaScript, React, Node.js",Entry,196457
AI Engineer,Tesla,"San Francisco, CA","C++, Deep Learning, TensorFlow",Senior,142747
AI Engineer,Tesla,"Austin, TX","Java, AWS, Docker",Entry,140107
Software Engineer,Facebook,"San Francisco, CA","Python, SQL, Machine Learning",Mid,125428
AI Engineer,Facebook,"Austin, TX","Python, Pandas, Data Science",Senior,146843
DevOps Engineer,Facebook,"Seattle, WA","JavaScript, React, Node.js",Senior,71002
Data Scientist,Amazon,"New York, NY","Python, SQL, Machine Learning",Entry,127501
Data Scientist,Amazon,"Austin, TX","Python, SQL, Machine Learning",Entry,92556
Software Engineer,Tesla,"Seattle, WA","C++, Deep Learning, TensorFlow",Entry,127963
Machine Learning Engineer,Facebook,"New York, NY","Java, AWS, Docker",Senior,66563
Software Engineer,Amazon,"Austin, TX","C++, Deep Learning, TensorFlow",Senior,65840
Machine Learning Engineer,Google,"San Francisco, CA","Java, AWS, Docker",Senior,75154
Data Scientist,Tesla,"San Francisco, CA","C++, Deep Learning, TensorFlow",Mid,84194
